texto,sensivel
"







PORTARIA Nº 113/2017/CGE-COR/SEDUC
 
O SECRETÁRIO
DE ESTADO DE EDUCAÇÃO, ESPORTE E LAZER no uso de suas atribuições
que lhe são conferidas pelos artigos 42 e 50, §único da Lei Complementar n. 207
de 29.12.2004, alterada pela Lei Complementar n. 550 de 27.11.2014.
Considerando a solicitação de prorrogação do curso da
instrução processual, formulada e fundamentada pela Servidora Designada, para o
término dos trabalhos elucidativos da Sindicância Administrativa nº.
227817/2015/CGE-COR",0
"







LOTACIONOGRAMA
O
Secretário de Estado de Saúde de Mato Grosso, no uso de suas atribuições legais e, considerando o
Decreto Estadual n° 1093 de 17/04/2012, que estabelece normas de padronização
para elaboração e publicação dos Lotacionogramas dos Órgãos e Entidades do
Poder Executivo do Estado de Mato Grosso.
 



ANEXO II

 



LOTACIONOGRAMA     

 



     ÓRGAO: SECRETARIA DE ESTADO DE SAÚDE - SES - 2º
  TRIMESTRE/2017

 



CARREIRA


CARGOS


CARGOS CRIADOS


CARGOS OCUPADOS

",0
"    PORTARIA Nº  088/2010/GP/DETRAN/MT  O Presidente do DEPARTAMENTO ESTADUAL DE TRÂNSITO - DETRAN/MT, no uso de suas atribuições legais e,  Considerando o que consta do processo administrativo, e satisfeito as exigências legais que constam da Legislação pertinente na Resolução nº 074/98 do CONTRAN e Portaria nº 047/99 do DENATRAN e em especial nas Portarias nºs 025/2002 e 218/2004, ambas do Departamento Estadual de Trânsito – DETRAN/MT; RESOLVE:  Artigo 1º - Credenciar a empresa “CENTRO DE FORM",1
"    PORTARIA CONJUNTA Nº. 066/2009/PGE/SEFAZ.  O SECRETÁRIO DE ESTADO DE FAZENDA E O PROCURADOR-GERAL DO ESTADO, no uso de suas atribuições e nos termos do artigo 170 da Lei Complementar nº 04, de 15-10-1990, combinado com o art. 69 da Lei Complementar nº 207, de 29-12-2004 e republicada no Diário Oficial do Estado de 18-3-2005 por ter saído incorreta, e;  Considerando as razões aduzidas no Oficio nº 014/CPAD-044/2009/PGE/SEFAZ, datado de 3-9-2009, pelo Presidente da Comissão de Processo Adminis",1
"     PORTARIA N. 060/2010/GAB//CEE/MT.   O PRESIDENTE DO CONSELHO ESTADUAL DE EDUCAÇÃO DE MATO GROSSO, no uso de suas atribuições legais, e em consonância com o inciso V do artigo 33 da Lei Complementar n. 77/00, de 13 de dezembro de 2000, e mediante o disposto na Resolução n. 169/06-CEE/MT, e à vista dos Processos nº 404764/10; 405045/10; 404691/10; 404932/2010; 404832/10 e 405087/2010-CEE/MT, e dos Despachos de Câmara de 22/06/2010 e 06/07/2010. R E S O L V E: Art. 1º - Constituir Comissão Ver",1
"    *LEI COMPLEMENTAR N°      313,         DE   16   DE       ABRIL          DE 2008.  Autor: Poder Judiciário Substitutivo Integral: Lideranças Partidárias Altera a redação do Art. 14, caput e §§ 1º e 2º, da Lei nº 4.964, de 26 de dezembro de 1985, modificada pela Lei Complementar nº 281, de 27 de setembro de 2007, e dá outras providências.  A ASSEMBLÉIA LEGISLATIVA DO ESTADO DE MATO GROSSO, tendo em vista o que dispõe o Arts. 45 e 96, inciso III, alíneas “a” e “d”, da Constituição Estadual, ap",1
"







MATO GROSSO PREVIDENCIA ­- MTPREV
PORTARIA Nº. 074/2016
 
O
DIRETOR PRESIDENTE DA MATO GROSSO PREVIDÊNCIA, usando das atribuições que lhes
são conferidas por Lei, resolve:
 
I - Deferir Averbação de Tempo de Contribuição:
 
01)
Processo nº. 253853/2015 - ADRIANA
GROFF - Secretaria de Estado de Segurança Pública - SESP. Homologo o
Parecer nº 3269/MTPREV/2016, de acordo com a Certidão Original de Tempo
de Contribuição emitida pelo INSS em 11/02/2015 sob o Protocolo nº. 10001070.1.000",0
"        PORTARIA Nº 043/2017/CGE O SECRETÁRIO CONTROLADOR-GERAL DO ESTADO, no uso das atribuições legais e regimentais, com que lhe confere o inciso VIII, do artigo 71 da Constituição do Estado de Mato Grosso e do que determina o §2° do artigo 15 da Lei Complementar n° 550/2014. Considerando o que dispõe o art. 15 da Lei Complementar nº 550/2014; RESOLVE: Art. 1° Publicar, no anexo único desta, a relação dos servidores pertencentes às Unidades Setoriais de Correição ou Comissões Processante",1
"




  O.P.S/Nº03/ 2013 - SMOR                                                        Cuiabá, 18 de Outubro de 2.013.
  ASSUNTO :  Ordem de Paralisação de Serviço.
          Ref.   : IC 201 /2013/00/00-ASJU.
Prezados Senhores,
Através da presente autorizamos a V. Sª, a Paralisação dos Serviços Manutenção de Rodovia Não Pavimentada, na Rodovia MT-343, Trecho: Cáceres – Porto Estrela, Sub – Trecho:Km 16 – Porto Estrela, numa extensão de 94,80 Km, no Município de Cáceres / Porto Estrela -MT, Confor",0
"        PORTARIA Nº 0017 /2024/CGE   O SECRETÁRIO CONTROLADOR-GERAL DO ESTADO, no uso das atribuições legais e regimentais, com que lhe confere o inciso VIII, do artigo 71 da Constituição do Estado de Mato Grosso e do que determina o §2° do artigo 15 da Lei Complementar n° 550/2014. Considerando o que dispõe o art. 15 da Lei Complementar nº 550/2014; RESOLVE: Art. 1° Retificar a portaria abaixo relacionadas, publicada no Diário Oficial. Retificação da PORTARIA Nº 0112/2023/CGE/MT, publicad",1
